# Roadside Provisions — general-store tavern.
#
# Sells food, drink, and low-tier potions. Prices track items.dnddat
# VALUE; buy/sell rates are standard (100/50). Showcases per-item
# tiering — bread < cheese < meat < steak, cheap wine < fine wine,
# lesser potion < healing potion.

NAME=Roadside Provisions
TYPE=GENERAL
BUY_RATE=100
SELL_RATE=50

# Staples.
STOCK=16,8
STOCK=18,5
STOCK=17,4
STOCK=19,3
STOCK=20,2

# Drink.
STOCK=21,6
STOCK=22,2

# Starter potions.
STOCK=23,5
STOCK=24,5
STOCK=9,3
